a,b,c
derek,0,0
carole,1,1
derek,2,2
carole,3,3
derek,4,0
carole,5,1
derek,6,2
carole,7,3
derek,8,0
carole,9,1
derek,10,2
carole,11,3
derek,12,0
carole,13,1
derek,14,2
carole,15,3
derek,16,0
carole,17,1
derek,18,2
carole,19,3
derek,20,0
carole,21,1
derek,22,2
carole,23,3
derek,24,0
carole,25,1
derek,26,2
carole,27,3
derek,28,0
carole,29,1
derek,30,2
carole,31,3
derek,32,0
carole,33,1
derek,34,2
carole,35,3
derek,36,0
carole,37,1
derek,38,2
carole,39,3
derek,40,0
carole,41,1
derek,42,2
carole,43,3
derek,44,0
carole,45,1
derek,46,2
carole,47,3
derek,48,0
carole,49,1
derek,50,2
carole,51,3
derek,52,0
carole,53,1
derek,54,2
carole,55,3
derek,56,0
carole,57,1
derek,58,2
carole,59,3
derek,60,0
carole,61,1
derek,62,2
carole,63,3
derek,64,0
carole,65,1
derek,66,2
carole,67,3
derek,68,0
carole,69,1
derek,70,2
carole,71,3
derek,72,0
carole,73,1
derek,74,2
carole,75,3
derek,76,0
carole,77,1
derek,78,2
carole,79,3
derek,80,0
carole,81,1
derek,82,2
carole,83,3
derek,84,0
carole,85,1
derek,86,2
carole,87,3
derek,88,0
carole,89,1
derek,90,2
carole,91,3
derek,92,0
carole,93,1
derek,94,2
carole,95,3
derek,96,0
carole,97,1
derek,98,2
carole,99,3
derek,100,0
carole,101,1
derek,102,2
carole,103,3
derek,104,0
carole,105,1
derek,106,2
carole,107,3
derek,108,0
carole,109,1
derek,110,2
carole,111,3
derek,112,0
carole,113,1
derek,114,2
carole,115,3
derek,116,0
carole,117,1
derek,118,2
carole,119,3
derek,120,0
carole,121,1
derek,122,2
carole,123,3
derek,124,0
carole,125,1
derek,126,2
carole,127,3
derek,128,0
carole,129,1
derek,130,2
carole,131,3
derek,132,0
carole,133,1
derek,134,2
carole,135,3
derek,136,0
carole,137,1
derek,138,2
carole,139,3
derek,140,0
carole,141,1
derek,142,2
carole,143,3
derek,144,0
carole,145,1
derek,146,2
carole,147,3
derek,148,0
carole,149,1
derek,150,2
carole,151,3
derek,152,0
carole,153,1
derek,154,2
carole,155,3
derek,156,0
carole,157,1
derek,158,2
carole,159,3
derek,160,0
carole,161,1
derek,162,2
carole,163,3
derek,164,0
carole,165,1
derek,166,2
carole,167,3
derek,168,0
carole,169,1
derek,170,2
carole,171,3
derek,172,0
carole,173,1
derek,174,2
carole,175,3
derek,176,0
carole,177,1
derek,178,2
carole,179,3
derek,180,0
carole,181,1
derek,182,2
carole,183,3
derek,184,0
carole,185,1
derek,186,2
carole,187,3
derek,188,0
carole,189,1
derek,190,2
carole,191,3
derek,192,0
carole,193,1
derek,194,2
carole,195,3
derek,196,0
carole,197,1
derek,198,2
carole,199,3
derek,200,0
carole,201,1
derek,202,2
carole,203,3
derek,204,0
carole,205,1
derek,206,2
carole,207,3
derek,208,0
carole,209,1
derek,210,2
carole,211,3
derek,212,0
carole,213,1
derek,214,2
carole,215,3
derek,216,0
carole,217,1
derek,218,2
carole,219,3
derek,220,0
carole,221,1
derek,222,2
carole,223,3
derek,224,0
carole,225,1
derek,226,2
carole,227,3
derek,228,0
carole,229,1
derek,230,2
carole,231,3
derek,232,0
carole,233,1
derek,234,2
carole,235,3
derek,236,0
carole,237,1
derek,238,2
carole,239,3
derek,240,0
carole,241,1
derek,242,2
carole,243,3
derek,244,0
carole,245,1
derek,246,2
carole,247,3
derek,248,0
carole,249,1
derek,250,2
carole,251,3
derek,252,0
carole,253,1
derek,254,2
carole,255,3
derek,256,0
carole,257,1
derek,258,2
carole,259,3
derek,260,0
carole,261,1
derek,262,2
carole,263,3
derek,264,0
carole,265,1
derek,266,2
carole,267,3
derek,268,0
carole,269,1
derek,270,2
carole,271,3
derek,272,0
carole,273,1
derek,274,2
carole,275,3
derek,276,0
carole,277,1
derek,278,2
carole,279,3
derek,280,0
carole,281,1
derek,282,2
carole,283,3
derek,284,0
carole,285,1
derek,286,2
carole,287,3
derek,288,0
carole,289,1
derek,290,2
carole,291,3
derek,292,0
carole,293,1
derek,294,2
carole,295,3
derek,296,0
carole,297,1
derek,298,2
carole,299,3
derek,300,0
carole,301,1
derek,302,2
carole,303,3
derek,304,0
carole,305,1
derek,306,2
carole,307,3
derek,308,0
carole,309,1
derek,310,2
carole,311,3
derek,312,0
carole,313,1
derek,314,2
carole,315,3
derek,316,0
carole,317,1
derek,318,2
carole,319,3
derek,320,0
carole,321,1
derek,322,2
carole,323,3
derek,324,0
carole,325,1
derek,326,2
carole,327,3
derek,328,0
carole,329,1
derek,330,2
carole,331,3
derek,332,0
carole,333,1
derek,334,2
carole,335,3
derek,336,0
carole,337,1
derek,338,2
carole,339,3
derek,340,0
carole,341,1
derek,342,2
carole,343,3
derek,344,0
carole,345,1
derek,346,2
carole,347,3
derek,348,0
carole,349,1
derek,350,2
carole,351,3
derek,352,0
carole,353,1
derek,354,2
carole,355,3
derek,356,0
carole,357,1
derek,358,2
carole,359,3
derek,360,0
carole,361,1
derek,362,2
carole,363,3
derek,364,0
carole,365,1
derek,366,2
carole,367,3
derek,368,0
carole,369,1
derek,370,2
carole,371,3
derek,372,0
carole,373,1
derek,374,2
carole,375,3
derek,376,0
carole,377,1
derek,378,2
carole,379,3
derek,380,0
carole,381,1
derek,382,2
carole,383,3
derek,384,0
carole,385,1
derek,386,2
carole,387,3
derek,388,0
carole,389,1
derek,390,2
carole,391,3
derek,392,0
carole,393,1
derek,394,2
carole,395,3
derek,396,0
carole,397,1
derek,398,2
carole,399,3
derek,400,0
carole,401,1
derek,402,2
carole,403,3
derek,404,0
carole,405,1
derek,406,2
carole,407,3
derek,408,0
carole,409,1
derek,410,2
carole,411,3
derek,412,0
carole,413,1
derek,414,2
carole,415,3
derek,416,0
carole,417,1
derek,418,2
carole,419,3
derek,420,0
carole,421,1
derek,422,2
carole,423,3
derek,424,0
carole,425,1
derek,426,2
carole,427,3
derek,428,0
carole,429,1
derek,430,2
carole,431,3
derek,432,0
carole,433,1
derek,434,2
carole,435,3
derek,436,0
carole,437,1
derek,438,2
carole,439,3
derek,440,0
carole,441,1
derek,442,2
carole,443,3
derek,444,0
carole,445,1
derek,446,2
carole,447,3
derek,448,0
carole,449,1
derek,450,2
carole,451,3
derek,452,0
carole,453,1
derek,454,2
carole,455,3
derek,456,0
carole,457,1
derek,458,2
carole,459,3
derek,460,0
carole,461,1
derek,462,2
carole,463,3
derek,464,0
carole,465,1
derek,466,2
carole,467,3
derek,468,0
carole,469,1
derek,470,2
carole,471,3
derek,472,0
carole,473,1
derek,474,2
carole,475,3
derek,476,0
carole,477,1
derek,478,2
carole,479,3
derek,480,0
carole,481,1
derek,482,2
carole,483,3
derek,484,0
carole,485,1
derek,486,2
carole,487,3
derek,488,0
carole,489,1
derek,490,2
carole,491,3
derek,492,0
carole,493,1
derek,494,2
carole,495,3
derek,496,0
carole,497,1
derek,498,2
carole,499,3
derek,500,0
carole,501,1
derek,502,2
carole,503,3
derek,504,0
carole,505,1
derek,506,2
carole,507,3
derek,508,0
carole,509,1
derek,510,2
carole,511,3
derek,512,0
carole,513,1
derek,514,2
carole,515,3
derek,516,0
carole,517,1
derek,518,2
carole,519,3
derek,520,0
carole,521,1
derek,522,2
carole,523,3
derek,524,0
carole,525,1
derek,526,2
carole,527,3
derek,528,0
carole,529,1
derek,530,2
carole,531,3
derek,532,0
carole,533,1
derek,534,2
carole,535,3
derek,536,0
carole,537,1
derek,538,2
carole,539,3
derek,540,0
carole,541,1
derek,542,2
carole,543,3
derek,544,0
carole,545,1
derek,546,2
carole,547,3
derek,548,0
carole,549,1
derek,550,2
carole,551,3
derek,552,0
carole,553,1
derek,554,2
carole,555,3
derek,556,0
carole,557,1
derek,558,2
carole,559,3
derek,560,0
carole,561,1
derek,562,2
carole,563,3
derek,564,0
carole,565,1
derek,566,2
carole,567,3
derek,568,0
carole,569,1
derek,570,2
carole,571,3
derek,572,0
carole,573,1
derek,574,2
carole,575,3
derek,576,0
carole,577,1
derek,578,2
carole,579,3
derek,580,0
carole,581,1
derek,582,2
carole,583,3
derek,584,0
carole,585,1
derek,586,2
carole,587,3
derek,588,0
carole,589,1
derek,590,2
carole,591,3
derek,592,0
carole,593,1
derek,594,2
carole,595,3
derek,596,0
carole,597,1
derek,598,2
carole,599,3
derek,600,0
carole,601,1
derek,602,2
carole,603,3
derek,604,0
carole,605,1
derek,606,2
carole,607,3
derek,608,0
carole,609,1
derek,610,2
carole,611,3
derek,612,0
carole,613,1
derek,614,2
carole,615,3
